CustomerID,Gender,Age,Income(Annual),Spending_Score
1,Male,19,15,39.0
2,Male,21,15,81.0
3,Female,20,16,6.0
4,Female,23,16,77.0
5,Female,31,17,40.0
6,Female,22,17,76.0
7,Female,35,18,6.0
8,Female,23,18,94.0
9,Male,64,19,3.0
10,Female,30,19,72.0
11,Male,67,19,14.0
12,Female,35,19,99.0
13,Female,58,20,51.27906976744186
14,Female,24,20,77.0
15,Male,37,20,13.0
16,Male,22,20,79.0
17,Female,35,21,35.0
18,Male,20,21,66.0
19,Male,52,23,29.0
20,Female,35,23,98.0
21,Male,35,24,35.0
22,Male,25,24,73.0
25,Female,54,28,14.0
26,Male,29,28,82.0
27,Female,45,28,32.0
28,Male,35,28,61.0
29,Female,40,29,31.0
30,Female,23,29,87.0
32,Female,21,30,73.0
33,Male,53,33,4.0
34,Male,18,33,92.0
35,Female,49,33,14.0
37,Female,42,34,17.0
38,Female,30,34,73.0
39,Female,36,37,26.0
40,Female,20,37,75.0
41,Female,65,38,35.0
42,Male,24,38,92.0
43,Male,48,39,51.27906976744186
44,Female,31,39,61.0
45,Female,49,39,28.0
46,Female,24,39,65.0
47,Female,50,40,51.27906976744186
48,Female,27,40,47.0
49,Female,29,40,42.0
50,Female,31,40,42.0
